Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV
FPix_BmO_D1_BLD12_PNL1_RNG2,,6B,M-K-1-17,4372,5,1Bb,1BC,5,PR049,,PB-4,J11,1,,,CI-A 027,PP6,18,SN133278/0005,15,30201210004615,B,0x7c,0x10,-z down right 4,1,-z down right 2,2,5,green-3,29/30,5,b,1305,bottom,,10,1,2,1b2,
FPix_BmO_D1_BLD11_PNL1_RNG2,,7B,M-Q-3-23,4383,4,1Bb,1BC,4,PR049,,PB-4,J11,2,,,CI-A 027,PP6,17,SN133278/0006,15,30201210004615,B,0x7c,0x10,-z down right 4,2,-z down right 2,2,6,blue-1,1/2,5,t,1305,bottom,,10,1,2,1b2,
FPix_BmO_D1_BLD10_PNL1_RNG2,,8B,M-Q-3-33,4374,3,1Bb,1BC,3,PR049,,PB-4,J11,1,,,CI-A 027,PP6,17,SN133278/0006,15,30201210004615,B,0x7c,0x10,-z down right 4,2,-z down right 2,2,6,green-3,5/6,5,t,1305,bottom,,10,1,2,1b2,
FPix_BmO_D1_BLD9_PNL1_RNG2,,9B,M-Q-6-50,4111W,2,1Bb,1BC,1,PR049,,PB-4,J11,1,,,CI-A 027,PP6,16,SN133278/0007,15,30201210004615,B,0x7c,0x10,-z down right 4,3,-z down right 2,2,7,green-3,29/30,4,b,1304,bottom,,10,1,2,1b2,
FPix_BmO_D1_BLD8_PNL1_RNG2,,10B,M-Q-9-23,4108W,5,1Bc,1BB,7,PR007,,PB-21,J11,1,,,CI-A 035,FP27,11,SN133278/0008,9,30201210004662,A,0x7e,0x10,-z up right 4,3,-z up right 2,2,8,blue-1,1/2,4,t,1304,bottom,,9,1,1,1c2,
FPix_BmO_D1_BLD7_PNL1_RNG2,,11B,M-Q-1-01,4376,4,1Bc,1BB,5,PR007,,PB-21,J11,1,,,CI-A 035,FP27,10,SN133278/0009,9,30201210004662,A,0x7e,0x10,-z up right 4,2,-z up right 2,2,9,blue-1,25/26,3,b,1303,bottom,,9,1,1,1c2,
FPix_BmO_D1_BLD6_PNL1_RNG2,,12B,M-Q-1-06,4106W,3,1Bc,1BB,3,PR007,,PB-21,J11,1,,,CI-A 035,FP27,5,SN133278/0010,9,30201210004662,A,0x7e,0x10,-z up right 4,1,-z up right 2,2,10,blue-1,1/2,3,t,1303,bottom,,9,1,1,1c2,
FPix_BmO_D1_BLD5_PNL1_RNG2,,13B,M-Y-H-NV,4375,2,1Bc,1BB,1,PR007,,PB-21,J11,1,,,CI-A 035,FP27,4,SN122498/0032,9,30201210004662,A,0x7e,0x10,-z up right 3,4,-z up right 2,2,11,blue-1,25/26,2,b,1302,bottom,,9,1,1,1c2,
FPix_BmO_D1_BLD4_PNL1_RNG2,,14B,M-Q-6-23,4116W,5,1Bd,1BA,7,PR056,,PB-31,J11,1,,,CI-A 033,PP8,4,SN122498/0032,9,30201210004662,B,0x7d,0x10,-z up right 3,4,-z up right 2,2,11,green-3,29/30,2,b,1302,bottom,,9,1,2,1d2,
FPix_BmO_D1_BLD3_PNL1_RNG2,,15B,M-Q-2-04,4107W,4,1Bd,1BA,5,PR056,,PB-31,J11,1,,,CI-A 033,PP8,3,SN122498/0033,9,30201210004662,B,0x7d,0x10,-z up right 3,3,-z up right 2,2,12,green-3,5/6,2,t,1302,bottom,,9,1,2,1d2,
FPix_BmO_D1_BLD2_PNL1_RNG2,,16B,M-L-4-41,4115W,3,1Bd,1BA,3,PR056,,PB-31,J11,1,,,CI-A 033,PP8,2,SN122498/0049,9,30201210004662,B,0x7d,0x10,-z up right 3,2,-z up right 2,2,13,green-3,29/30,1,b,1301,bottom,,9,1,2,1d2,
