#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC8         B        9      1     1     10      2      8      1288       6     0
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC9         B        9      1     1     10      2      9      1288       6     1
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC10         B        9      1     1     10      2      10      1288       6     2
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC11         B        9      1     1     10      2      11      1288       6     3
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC12         B        9      1     1     10      3      12      1288       6     4
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC13         B        9      1     1     10      3      13      1288       6     5
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC14         B        9      1     1     10      3      14      1288       6     6
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC15         B        9      1     1     10      3      15      1288       6     7
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC0         A        9      1     2     13      0      0      1289       1     0
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC1         A        9      1     2     13      0      1      1289       1     1
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC2         A        9      1     2     13      0      2      1289       1     2
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC3         A        9      1     2     13      0      3      1289       1     3
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC4         A        9      1     2     13      1      4      1289       1     4
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC5         A        9      1     2     13      1      5      1289       1     5
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC6         A        9      1     2     13      1      6      1289       1     6
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC7         A        9      1     2     13      1      7      1289       1     7
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC8         B        9      1     2     13      2      8      1289       2     0
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC9         B        9      1     2     13      2      9      1289       2     1
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC10         B        9      1     2     13      2      10      1289       2     2
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC11         B        9      1     2     13      2      11      1289       2     3
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC12         B        9      1     2     13      3      12      1289       2     4
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC13         B        9      1     2     13      3      13      1289       2     5
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC14         B        9      1     2     13      3      14      1289       2     6
FPix_BpO_D1_BLD4_PNL1_RNG1_ROC15         B        9      1     2     13      3      15      1289       2     7
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC0         A        9      1     2     12      0      0      1290       1     0
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC1         A        9      1     2     12      0      1      1290       1     1
