#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC10         B        10      1     1     11      2      10      1286       6     2
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC11         B        10      1     1     11      2      11      1286       6     3
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC12         B        10      1     1     11      3      12      1286       6     4
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC13         B        10      1     1     11      3      13      1286       6     5
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC14         B        10      1     1     11      3      14      1286       6     6
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC15         B        10      1     1     11      3      15      1286       6     7
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC0         A        10      1     1     10      0      0      1285       29     0
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC1         A        10      1     1     10      0      1      1285       29     1
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC2         A        10      1     1     10      0      2      1285       29     2
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC3         A        10      1     1     10      0      3      1285       29     3
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC4         A        10      1     1     10      1      4      1285       29     4
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC5         A        10      1     1     10      1      5      1285       29     5
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC6         A        10      1     1     10      1      6      1285       29     6
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC7         A        10      1     1     10      1      7      1285       29     7
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC8         B        10      1     1     10      2      8      1285       30     0
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC9         B        10      1     1     10      2      9      1285       30     1
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC10         B        10      1     1     10      2      10      1285       30     2
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC11         B        10      1     1     10      2      11      1285       30     3
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC12         B        10      1     1     10      3      12      1285       30     4
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC13         B        10      1     1     10      3      13      1285       30     5
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC14         B        10      1     1     10      3      14      1285       30     6
FPix_BpI_D1_BLD9_PNL1_RNG1_ROC15         B        10      1     1     10      3      15      1285       30     7
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC0         A        10      1     2     13      0      0      1284       25     0
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC1         A        10      1     2     13      0      1      1284       25     1
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC2         A        10      1     2     13      0      2      1284       25     2
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC3         A        10      1     2     13      0      3      1284       25     3
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC4         A        10      1     2     13      1      4      1284       25     4
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC5         A        10      1     2     13      1      5      1284       25     5
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC6         A        10      1     2     13      1      6      1284       25     6
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC7         A        10      1     2     13      1      7      1284       25     7
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC8         B        10      1     2     13      2      8      1284       26     0
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC9         B        10      1     2     13      2      9      1284       26     1
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC10         B        10      1     2     13      2      10      1284       26     2
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC11         B        10      1     2     13      2      11      1284       26     3
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC12         B        10      1     2     13      3      12      1284       26     4
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC13         B        10      1     2     13      3      13      1284       26     5
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC14         B        10      1     2     13      3      14      1284       26     6
FPix_BpI_D1_BLD8_PNL1_RNG1_ROC15         B        10      1     2     13      3      15      1284       26     7
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC0         A        10      1     2     12      0      0      1283       25     0
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC1         A        10      1     2     12      0      1      1283       25     1
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC2         A        10      1     2     12      0      2      1283       25     2
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC3         A        10      1     2     12      0      3      1283       25     3
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC4         A        10      1     2     12      1      4      1283       25     4
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC5         A        10      1     2     12      1      5      1283       25     5
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC6         A        10      1     2     12      1      6      1283       25     6
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC7         A        10      1     2     12      1      7      1283       25     7
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC8         B        10      1     2     12      2      8      1283       26     0
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC9         B        10      1     2     12      2      9      1283       26     1
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC10         B        10      1     2     12      2      10      1283       26     2
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC11         B        10      1     2     12      2      11      1283       26     3
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC12         B        10      1     2     12      3      12      1283       26     4
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC13         B        10      1     2     12      3      13      1283       26     5
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC14         B        10      1     2     12      3      14      1283       26     6
FPix_BpI_D1_BLD7_PNL1_RNG1_ROC15         B        10      1     2     12      3      15      1283       26     7
FPix_BpI_D1_BLD6_PNL1_RNG1_ROC0         A        9      1     1     12      0      0      1283       5     0
FPix_BpI_D1_BLD6_PNL1_RNG1_ROC1         A        9      1     1     12      0      1      1283       5     1
FPix_BpI_D1_BLD6_PNL1_RNG1_ROC2         A        9      1     1     12      0      2      1283       5     2
FPix_BpI_D1_BLD6_PNL1_RNG1_ROC3         A        9      1     1     12      0      3      1283       5     3
